stageID,orderIndex,componentType,advancementTrigger,durationSeconds,componentConfig,guidance
19,4,MULTI_COLUMN_BOARD,FACILITATOR_CLICK,0,"{""columns"": [{""title"": ""What would make it a 10?"", ""placeholder"": """"}], ""capabilities"": {""allowInput"": false, ""allowVoting"": false, ""allowMerging"": true, ""allowDelete"": false, ""showContent"": true, ""numberOfVotes"": 3, ""showTimer"": false, ""showVotes"": false, ""showAuthor"": true, ""maxLength"": 0}}","All improvement ideas are now visible! Read through what the team suggested.

Cluster similar ideas together. Look for themes — what improvements are people asking for most? When clustering is done, click Next to vote."
19,5,MULTI_COLUMN_BOARD,FACILITATOR_CLICK,0,"{""columns"": [{""title"": ""What would make it a 10?"", ""placeholder"": """"}], ""capabilities"": {""allowInput"": false, ""allowVoting"": true, ""allowMerging"": false, ""allowDelete"": false, ""showContent"": true, ""numberOfVotes"": 3, ""showTimer"": false, ""showVotes"": true, ""showAuthor"": true, ""maxLength"": 0}}","Vote on the improvements that would have the biggest impact. You have 3 votes — use them wisely. You can stack votes on a single item.

Which changes would move the needle most for the team?"
19,6,MULTI_COLUMN_BOARD,FACILITATOR_CLICK,0,"{""columns"": [{""title"": ""What would make it a 10?"", ""placeholder"": """"}], ""capabilities"": {""allowInput"": false, ""allowVoting"": false, ""allowMerging"": false, ""allowDelete"": false, ""showContent"": true, ""numberOfVotes"": 3, ""showTimer"": false, ""showVotes"": true, ""showAuthor"": true, ""maxLength"": 0}}","Here are the top voted improvements. These represent the team's collective judgment about what would make the biggest difference.

We'll carry these insights into the Start Stop Continue phase, where we'll turn them into concrete commitments."
29,1,MULTI_COLUMN_BOARD,TIMER_EXPIRES,420,"{""columns"": [{""title"": ""Start"", ""color"": ""#10B981"", ""placeholder"": ""What should we START doing?""}, {""title"": ""Stop"", ""color"": ""#EF4444"", ""placeholder"": ""What should we STOP doing?""}, {""title"": ""Continue"", ""color"": ""#3B82F6"", ""placeholder"": ""What should we CONTINUE doing?""}], ""capabilities"": {""allowInput"": true, ""allowVoting"": false, ""allowMerging"": false, ""allowDelete"": false, ""showContent"": false, ""numberOfVotes"": 5, ""showTimer"": true, ""showVotes"": false, ""showAuthor"": false, ""maxLength"": 280}}","Add sticky notes across all three columns simultaneously. Think about practices, processes, and behaviours.

• 🟢 Start — new practices to adopt that would improve the team
• 🔴 Stop — practices causing friction, waste, or harm
• 🔵 Continue — practices working well that we must protect

Be specific: instead of 'improve communication', write 'daily 15-min sync with design team'. You have 7 minutes. Notes are private until revealed."
29,2,MULTI_COLUMN_BOARD,FACILITATOR_CLICK,0,"{""columns"": [{""title"": ""Start"", ""color"": ""#10B981"", ""placeholder"": """"}, {""title"": ""Stop"", ""color"": ""#EF4444"", ""placeholder"": """"}, {""title"": ""Continue"", ""color"": ""#3B82F6"", ""placeholder"": """"}], ""capabilities"": {""allowInput"": false, ""allowVoting"": false, ""allowMerging"": false, ""allowDelete"": false, ""showContent"": true, ""numberOfVotes"": 5, ""showTimer"": false, ""showVotes"": false, ""showAuthor"": true, ""maxLength"": 0}}","All items are now visible! Take a moment to read through what the team shared.

Notice what resonates, what surprises you, and what appears across multiple people. All feedback is valid — we're observing, not judging."
29,3,MULTI_COLUMN_BOARD,FACILITATOR_CLICK,0,"{""columns"": [{""title"": ""Start"", ""color"": ""#10B981"", ""placeholder"": """"}, {""title"": ""Stop"", ""color"": ""#EF4444"", ""placeholder"": """"}, {""title"": ""Continue"", ""color"": ""#3B82F6"", ""placeholder"": """"}], ""capabilities"": {""allowInput"": false, ""allowVoting"": false, ""allowMerging"": true, ""allowDelete"": false, ""showContent"": true, ""numberOfVotes"": 5, ""showTimer"": false, ""showVotes"": false, ""showAuthor"": true, ""maxLength"": 0}}","Cluster similar items together by dragging them. Look for the 3-5 most important themes per column.

What patterns are emerging? What topics are people raising most? When clustering is done, click Next to vote."
29,4,MULTI_COLUMN_BOARD,FACILITATOR_CLICK,0,"{""columns"": [{""title"": ""Start"", ""color"": ""#10B981"", ""placeholder"": """"}, {""title"": ""Stop"", ""color"": ""#EF4444"", ""placeholder"": """"}, {""title"": ""Continue"", ""color"": ""#3B82F6"", ""placeholder"": """"}], ""capabilities"": {""allowInput"": false, ""allowVoting"": true, ""allowMerging"": false, ""allowDelete"": false, ""showContent"": true, ""numberOfVotes"": 5, ""showTimer"": false, ""showVotes"": true, ""showAuthor"": true, ""maxLength"": 0}}","Vote on the items that matter most to you. You have 5 votes — distribute them across items that would have the biggest positive impact. You can stack votes on a single item."
29,5,MULTI_COLUMN_BOARD,FACILITATOR_CLICK,0,"{""columns"": [{""title"": ""Start"", ""color"": ""#10B981"", ""placeholder"": """"}, {""title"": ""Stop"", ""color"": ""#EF4444"", ""placeholder"": """"}, {""title"": ""Continue"", ""color"": ""#3B82F6"", ""placeholder"": """"}], ""capabilities"": {""allowInput"": false, ""allowVoting"": false, ""allowMerging"": false, ""allowDelete"": false, ""showContent"": true, ""numberOfVotes"": 5, ""showTimer"": false, ""showVotes"": true, ""showAuthor"": true, ""maxLength"": 0}}","Here are the top voted items. Let's discuss the most important themes.

Why did these items get the most votes? What do they tell us about the team's priorities? Select 1-3 items to act on next sprint — ideally one from each column. Limit is important: too many action items means none get done."
29,6,MULTI_COLUMN_BOARD,FACILITATOR_CLICK,0,"{""columns"": [{""title"": ""Start"", ""color"": ""#10B981"", ""placeholder"": """"}, {""title"": ""Stop"", ""color"": ""#EF4444"", ""placeholder"": """"}, {""title"": ""Continue"", ""color"": ""#3B82F6"", ""placeholder"": """"}], ""capabilities"": {""allowInput"": false, ""allowVoting"": false, ""allowMerging"": false, ""allowDelete"": false, ""showContent"": true, ""numberOfVotes"": 5, ""showTimer"": false, ""showVotes"": true, ""showAuthor"": true, ""maxLength"": 0}}","Time to commit! For each selected action item, define:
• WHO is responsible (one named person — not 'the team')
• WHEN it will be done (a specific date, not 'next sprint')
• SUCCESS CRITERIA — how will we know it worked?

Say it out loud as a team: 'I commit to [action] by [date].' Spoken commitments are more powerful than written ones."
29,7,MULTI_COLUMN_BOARD,AUTO,0,"{""columns"": [{""title"": ""Start"", ""color"": ""#10B981"", ""placeholder"": """"}, {""title"": ""Stop"", ""color"": ""#EF4444"", ""placeholder"": """"}, {""title"": ""Continue"", ""color"": ""#3B82F6"", ""placeholder"": """"}], ""capabilities"": {""allowInput"": false, ""allowVoting"": false, ""allowMerging"": false, ""allowDelete"": false, ""showContent"": true, ""numberOfVotes"": 5, ""showTimer"": false, ""showVotes"": false, ""showAuthor"": false, ""maxLength"": 0}}","Excellent work! You've identified concrete commitments for next sprint. Now let's close the retrospective with a quick feedback round."
30,1,MULTI_COLUMN_BOARD,FACILITATOR_CLICK,120,"{""columns"": [{""title"": ""Plus"", ""emoji"": ""➕"", ""color"": ""#10B981"", ""placeholder"": ""What worked well in this retro?""}, {""title"": ""Delta"", ""emoji"": ""△"", ""color"": ""#F59E0B"", ""placeholder"": ""What would you change next time?""}], ""capabilities"": {""allowInput"": true, ""allowVoting"": false, ""allowMerging"": false, ""allowDelete"": false, ""showContent"": false, ""numberOfVotes"": 0, ""showTimer"": true, ""showVotes"": false, ""showAuthor"": false, ""maxLength"": 200}}","Let's close with a quick meta-retrospective — feedback on the retrospective itself.

• ➕ Plus — what worked well in this retro session?
• △ Delta — what would you change or improve next time?

Participation is optional — share what feels useful. You have 2 minutes. The facilitator will review the feedback and use it to improve future sessions."
30,2,MULTI_COLUMN_BOARD,FACILITATOR_CLICK,0,"{""columns"": [{""title"": ""Plus"", ""emoji"": ""➕"", ""color"": ""#10B981"", ""placeholder"": """"}, {""title"": ""Delta"", ""emoji"": ""△"", ""color"": ""#F59E0B"", ""placeholder"": """"}], ""capabilities"": {""allowInput"": false, ""allowVoting"": false, ""allowMerging"": false, ""allowDelete"": false, ""showContent"": true, ""numberOfVotes"": 0, ""showTimer"": false, ""showVotes"": false, ""showAuthor"": false, ""maxLength"": 0}}","Here's the feedback on today's retrospective. Take a moment to review it.

What patterns do you see? What will we do differently next time? This feedback helps us continuously improve how we run retrospectives."
30,3,MULTI_COLUMN_BOARD,AUTO,0,"{""columns"": [{""title"": ""Plus"", ""emoji"": ""➕"", ""color"": ""#10B981"", ""placeholder"": """"}, {""title"": ""Delta"", ""emoji"": ""△"", ""color"": ""#F59E0B"", ""placeholder"": """"}], ""capabilities"": {""allowInput"": false, ""allowVoting"": false, ""allowMerging"": false, ""allowDelete"": false, ""showContent"": true, ""numberOfVotes"": 0, ""showTimer"": false, ""showVotes"": false, ""showAuthor"": false, ""maxLength"": 0}}","Thank you for a great retrospective! 🎉

Remember the commitments you made today — the value of a retro is in the actions that follow. Check in on your action items next sprint.

Take a moment to appreciate your teammates for their honesty and engagement today. See you next sprint!"
